START,,,,,,
Param,Start,Len,Offset,Min,Max,Res
Lane ID,0,3,0,0,1,1
Lane type,3,4,0,0,1,1
Quality,8,2,0,0,3,1
Width marking,24,8,0,0,2.5,0.01
C0,32,16,-128,-128,127,0.003906
C1,48,16,-32,-0.357,0.357,0.0009765
END,,,,,,
,,,,,,
START,,,,,,
ID,0x795,,,,,
Param,Start,Len,Offset,Min,Max,Res
Lane ID,0,3,0,0,7,1
C2,8,16,-0.032,-0.032,0.032,9.77E-07
C3,24,16,-0.00012207,-0.00012,0.00012,3.73E-09
View Range,40,15,0,0,127.996,0.003906
View range valid,55,1,0,0,1,1
END,,,,,,
,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x797,,,,,
Param,Start,Len,Offset,Min,Max,Res
Lane ID,0,3,0,0,1,1
Lane type,3,4,0,0,1,1
Quality,8,2,0,0,3,1
Width marking,24,8,0,0,2.5,0.01
C0,32,16,-128,-128,127,0.003906
C1,48,16,-32,-0.357,0.357,0.0009765
END,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x798,,,,,
Param,Start,Len,Offset,Min,Max,Res
Lane ID,0,3,0,0,7,1
C2,8,16,-0.032,-0.032,0.032,9.77E-07
C3,24,16,-0.00012207,-0.00012,0.00012,3.73E-09
View Range,40,15,0,0,127.996,0.003906
View range valid,55,1,0,0,1,1
END,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x79A,,,,,
Param,Start,Len,Offset,Min,Max,Res
Quality,0,2,0,0,3,1
Lane type,2,4,0,0,1,1
Width marking,24,8,0,0,2.5,0.01
C0,32,16,-128,-128,127,0.003906
C1,48,16,-32,-0.357,0.357,0.0009765
END,,,,,,
,,,,,,
START,,,,,,
ID,0x79B,,,,,
Param,Start,Len,Offset,Min,Max,Res
C2,8,16,-0.032,-0.032,0.032,9.77E-07
C3,24,16,-0.00012207,-0.00012,0.00012,3.73E-09
View Range,40,15,0,0,127.996,0.003906
View range valid,55,1,0,0,1,1
END,,,,,,
,,,,,,
START,,,,,,
ID,0x79C,,,,,
Param,Start,Len,Offset,Min,Max,Res
Quality,0,2,0,0,3,1
Lane type,2,4,0,0,1,1
Width marking,24,8,0,0,2.5,0.01
C0,32,16,-128,-128,127,0.003906
C1,48,16,-32,-0.357,0.357,0.0009765
END,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x79D,,,,,
Param,Start,Len,Offset,Min,Max,Res
C2,8,16,-0.032,-0.032,0.032,9.77E-07
C3,24,16,-0.00012207,-0.00012,0.00012,3.73E-09
View Range,40,15,0,0,127.996,0.003906
View range valid,55,1,0,0,1,1
END,,,,,,
